SA2 Code,SA2 Label,Heart stroke vascular (%) All ages,Heart stroke vascular (%) 60 years and over,Heart stroke vascular (%) 70 years and over
601021004,Bellerive - Rosny,8.8,22.1,27.5
212031305,Hampton Park - Lynbrook,NA,20.8,27.6
604011075,Acton - Upper Burnie,7.8,22.7,27.7
107011132,Horsley - Kembla Grange,NA,20.7,27.8
209041223,Thomastown,7,22.4,27.8
213011330,Deer Park - Derrimut,NA,21,27.9
210011230,Niddrie - Essendon West,NA,21.6,27.9
213011340,Taylors Lakes,NA,20.6,28
216011406,Echuca,7.7,22.3,28
402041046,Salisbury,6.4,22.3,28.1
402021029,Davoren Park,NA,21.2,28.2
210031239,Pascoe Vale,5.1,22.1,28.2
103021063,Cowra,8.5,22.5,28.2
205051104,Yarram,9.5,22,28.4
106011111,Kurri Kurri - Abermain,6.5,22.2,28.4
123021442,Macquarie Fields - Glenfield,NA,21.6,28.6
313021366,Caboolture - South,5.4,21.7,28.7
212021295,Doveton,NA,22.5,28.7
106031121,Nelson Bay Peninsula,10.5,23.5,28.8
111031232,Stockton - Fullerton Cove,9.6,22.6,28.9
319021506,Kingaroy Region - North,8.8,23.1,29
313051378,Margate - Woody Point,8.2,22.1,29.1
318011464,Ingham,10.2,24.3,29.1
102021048,Gorokan - Kanwal - Charmhaven,7.9,23.4,29.2
202011019,California Gully - Eaglehawk,6.9,22.8,29.3
214011372,Frankston North,7.4,23.8,29.4
106021118,Thornton - Millers Forest,NA,22.1,30.3
105021097,Broken Hill,8.9,24.7,30.7
212031300,Cranbourne,6.4,25.1,32
801031114,Canberra Airport,NA,NA,NA
304041099,Enoggera Reservoir,NA,NA,NA
701041042,Palmerston - South,NA,NA,NA
506031130,Welshpool,NA,NA,NA
507021167,O'Connor (WA),NA,NA,NA
801041118,Jacka,NA,NA,NA
801041120,Moncrieff,NA,NA,NA
801031115,Majura,NA,NA,NA
